Date,Close,1 Month,3 Months,6 Months,12 Months
12/1/1935,13.43,0.037167721,0.147348353,0.271189391,0.346199212
1/1/1936,14.31,0.063467583,0.13843508,0.255816912,0.45268418
2/1/1936,14.6,0.020062935,0.12069824,0.261542684,0.513111339
3/1/1936,14.92,0.021681066,0.105211584,0.252559937,0.568536153
4/1/1936,13.77,-0.080210282,-0.038466281,0.099968799,0.394630766
5/1/1936,14.4,0.044735894,-0.013793322,0.106904918,0.407550615
6/1/1936,14.84,0.030098031,-0.005376357,0.099835227,0.371024618
7/1/1936,15.85,0.065843263,0.140677188,0.102210907,0.358027819
8/1/1936,15.99,0.008794027,0.10473532,0.090941998,0.352484682
9/1/1936,16.01,0.00125,0.075887289,0.070510932,0.32307087
10/1/1936,17.23,0.073438524,0.08348255,0.224159738,0.324128537
11/1/1936,17.280001,0.002897771,0.077586294,0.182321615,0.289226532
12/1/1936,17.18,-0.005803905,0.07053239,0.146419679,0.246254906
1/1/1937,17.77,0.033765726,0.030859592,0.114342142,0.216553049
2/1/1937,18.059999,0.01618785,0.044149671,0.121735966,0.212677964
3/1/1937,17.92,-0.007782085,0.042171491,0.112703881,0.183214813
4/1/1937,16.43,-0.086808475,-0.07840271,-0.047543118,0.176616619
5/1/1937,16.26,-0.010400828,-0.104991388,-0.060841717,0.121479898
6/1/1937,15.4,-0.054340595,-0.151549898,-0.109378407,0.037041272
7/1/1937,16.77,0.085224066,0.020482644,-0.057920066,0.056422076
8/1/1937,16.040001,-0.044505911,-0.013622439,-0.118613828,0.003122138
9/1/1937,13.76,-0.153319832,-0.112601677,-0.264151575,-0.151447695
10/1/1937,12.35,-0.108109769,-0.305935513,-0.285452869,-0.332995987
11/1/1937,11.11,-0.105810459,-0.367240061,-0.3808625,-0.441704218
12/1/1937,10.55,-0.051719744,-0.265639973,-0.378241649,-0.487620057
1/1/1938,10.69,0.013182865,-0.144347338,-0.450282851,-0.508202917
2/1/1938,11.34,0.059027573,0.020490695,-0.346749366,-0.465363194
3/1/1938,8.5,-0.288270135,-0.216059696,-0.481699669,-0.745851244
4/1/1938,9.78,0.140273321,-0.088969241,-0.233316579,-0.518769448
5/1/1938,9.27,-0.053556104,-0.201552919,-0.181062224,-0.561924725
6/1/1938,11.56,0.220767484,0.3074847,0.091425003,-0.286816646
7/1/1938,12.33,0.064484454,0.231695833,0.142726592,-0.307556259
8/1/1938,12.06,-0.022141126,0.263110812,0.061557893,-0.285191473
9/1/1938,12.24,0.014815086,0.057158414,0.364643114,-0.117056555
10/1/1938,13.17,0.073232239,0.065906199,0.297602032,0.064285453
11/1/1938,12.73,-0.033980103,0.054067221,0.317178033,0.136115809
12/1/1938,13.14,0.0316996,0.070951736,0.12811015,0.219535153
1/1/1939,12.3,-0.066061751,-0.068342253,-0.002436055,0.140290537
2/1/1939,12.7,0.032002731,-0.002359419,0.051707802,0.113265695
3/1/1939,10.98,-0.145526557,-0.179585577,-0.108633841,0.256009273
4/1/1939,10.93,-0.004564134,-0.11808796,-0.186430214,0.111171818
5/1/1939,11.6,0.059493796,-0.090596895,-0.092956314,0.224221719
6/1/1939,10.86,-0.065918784,-0.010989122,-0.190574699,-0.062464549
7/1/1939,12.04,0.103148125,0.096723138,-0.021364822,-0.023800877
8/1/1939,11.18,-0.074107972,-0.03687863,-0.127475526,-0.075767724
9/1/1939,12.79,0.134537148,0.163577301,0.15258818,0.043954339
10/1/1939,12.83,0.003122563,0.063551739,0.160274876,-0.026155337
11/1/1939,12.2,-0.050350227,0.087309484,0.050430854,-0.042525461
12/1/1939,12.46,0.021087562,-0.026140102,0.137437199,-0.0531375
1/1/1940,12.05,-0.033458853,-0.062721519,0.00083022,-0.020534602
2/1/1940,12.13,0.006617063,-0.005754229,0.081555255,-0.045920271
3/1/1940,12.18,0.004113539,-0.022728251,-0.048868353,0.103719826
4/1/1940,12.19,0.000820681,0.011551284,-0.051170235,0.109104641
5/1/1940,9.27,-0.273832564,-0.268898343,-0.274652572,-0.224221719
6/1/1940,9.98,0.073799711,-0.199212172,-0.221940423,-0.084503224
7/1/1940,10.29,0.03058946,-0.169443394,-0.15789211,-0.15706189
8/1/1940,10.5,0.020202707,0.124591878,-0.144306466,-0.062751211
9/1/1940,10.66,0.015123162,0.065915328,-0.133296844,-0.182165197
10/1/1940,11.08,0.038643263,0.073969131,-0.095474262,-0.146644497
11/1/1940,10.57,-0.047121881,0.006644543,0.13123642,-0.143416152
12/1/1940,10.58,0.000945627,-0.007532992,0.058382336,-0.163558087
